input_file | variant | output_file | fitness | tools_passed | tools_run | ast_norm_distance
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_VULN_2.txt | 0.8476 | 0 | 0 | 0.1524
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_VULN_3.txt | 0.8476 | 0 | 0 | 0.1524
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_VULN_4.txt | 0.8476 | 0 | 0 | 0.1524
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_VULN_5.txt | 0.8476 | 0 | 0 | 0.1524
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_SAFE.txt | 0.8408 | 0 | 0 | 0.1592
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_VULN_1.txt | 0.7679 | 0 | 0 | 0.2321
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_VULN_2.txt | 0.7363 | 0 | 0 | 0.2637
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_VULN_3.txt | 0.7363 | 0 | 0 | 0.2637
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_VULN_4.txt | 0.7796 | 0 | 0 | 0.2204
/driveD/codes_breaker_project/CA/CWE352_pyramid-csrf-check-disabled.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE352_pyramid-csrf-check-disabled_sv5/CWE352_pyramid-csrf-check-disabled_VULN_5.txt | 0.7796 | 0 | 0 | 0.2204
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_VULN_1.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_VULN_2.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_VULN_3.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_VULN_4.txt | 0.6544 | 0 | 0 | 0.3456
