Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE327_insecure-hash-algorithm-sha1_SAFE4.txt	CWE327_insecure-hash-algorithm-sha1_obfu.txt	0.6833	0.2153	0.3167	1.0	0.26600	0.13333333333333325	Weak
CWE327_insecure-hash-algorithm-sha1_SAFE5.txt	CWE327_insecure-hash-algorithm-sha1_obfu.txt	0.7921	0.2361	0.2079	1.0	0.22200	0.13333333333333325	Weak
CWE352_no-csrf-exempt_SAFE1.txt	CWE352_no-csrf-exempt_obfu.txt	0.3171	0.5372	0.6829	1.0	0.61005	0.6591205741241641	Moderate
CWE352_no-csrf-exempt_SAFE2.txt	CWE352_no-csrf-exempt_obfu.txt	0.3482	0.5294	0.6518	1.0	0.59060	0.5565245649739025	Moderate
CWE352_no-csrf-exempt_SAFE3.txt	CWE352_no-csrf-exempt_obfu.txt	0.2126	0.5665	0.7874	1.0	0.67695	0.8825739237392375	Strong
CWE352_no-csrf-exempt_SAFE4.txt	CWE352_no-csrf-exempt_obfu.txt	0.4074	0.6200	0.5926	1.0	0.60630	0.5500000000000002	Moderate
CWE352_no-csrf-exempt_SAFE5.txt	CWE352_no-csrf-exempt_obfu.txt	0.2809	0.7404	0.7191	1.0	0.72975	0.7896434232662771	Strong
CWE502_avoid-pickle_SAFE1.txt	CWE502_avoid-pickle_obfu.txt	0.4633	0.1533	0.5367	1.0	0.34500	0.23511561424812774	Weak
CWE502_avoid-pickle_SAFE2.txt	CWE502_avoid-pickle_obfu.txt	0.4767	0.1533	0.5233	1.0	0.33830	0.22406554571662538	Weak
CWE502_avoid-pickle_SAFE3.txt	CWE502_avoid-pickle_obfu.txt	0.4767	0.1533	0.5233	1.0	0.33830	0.22406554571662538	Weak
CWE502_avoid-pickle_SAFE4.txt	CWE502_avoid-pickle_obfu.txt	0.4633	0.1533	0.5367	1.0	0.34500	0.23511561424812774	Weak
CWE502_avoid-pickle_SAFE5.txt	CWE502_avoid-pickle_obfu.txt	0.4767	0.1533	0.5233	1.0	0.33830	0.22406554571662538	Weak
CWE502_avoid-pickle-orig_SAFE1.txt	CWE502_avoid-pickle-orig_obfu.txt	0.3936	0.3310	0.6064	1.0	0.46870	0.36841871259408854	Moderate
CWE502_avoid-pickle-orig_SAFE2.txt	CWE502_avoid-pickle-orig_obfu.txt	0.1980	0.3822	0.8020	1.0	0.59210	0.5376753057503448	Moderate
CWE502_avoid-pickle-orig_SAFE3.txt	CWE502_avoid-pickle-orig_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE502_avoid-pickle-orig_SAFE4.txt	CWE502_avoid-pickle-orig_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE502_avoid-pickle-orig_SAFE5.txt	CWE502_avoid-pickle-orig_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE502_avoid-pickle-try-1_SAFE1.txt	CWE502_avoid-pickle-try-1_obfu.txt	0.7849	0.3107	0.2151	1.0	0.26290	0.13333333333333325	Weak
CWE502_avoid-pickle-try-1_SAFE2.txt	CWE502_avoid-pickle-try-1_obfu.txt	0.7711	0.3062	0.2289	1.0	0.26755	0.13333333333333325	Weak
CWE502_avoid-pickle-try-1_SAFE3.txt	CWE502_avoid-pickle-try-1_obfu.txt	0.7593	0.2153	0.2407	1.0	0.22800	0.13333333333333325	Weak
CWE502_avoid-pickle-try-1_SAFE4.txt	CWE502_avoid-pickle-try-1_obfu.txt	0.6656	0.2762	0.3344	1.0	0.30530	0.15294251710814644	Weak
CWE502_avoid-pickle-try-1_SAFE5.txt	CWE502_avoid-pickle-try-1_obfu.txt	0.2669	0.4484	0.7331	1.0	0.59075	0.8049065974983232	Strong
CWE502_marshal-usage_SAFE1.txt	CWE502_marshal-usage_obfu.txt	0.3324	0.6657	0.6676	1.0	0.66665	0.6106853972690576	Moderate
CWE502_marshal-usage_SAFE2.txt	CWE502_marshal-usage_obfu.txt	0.2847	0.6458	0.7153	1.0	0.68055	0.7545876829422205	Strong
