                                                                           Safe File                                                                           Obfu File  AST Distance  Conceptual Similarity  Fitness  Pass Rate  Score Value
                                                CWE79_direct-use-of-jinja2_SAFE1.txt                                                 CWE79_direct-use-of-jinja2_obfu.txt        0.1928                 0.8544   0.8072        1.0      0.83080
                                                CWE79_direct-use-of-jinja2_SAFE2.txt                                                 CWE79_direct-use-of-jinja2_obfu.txt        0.3823                 0.6023   0.6177        1.0      0.61000
                                                CWE79_direct-use-of-jinja2_SAFE3.txt                                                 CWE79_direct-use-of-jinja2_obfu.txt        0.1928                 0.8544   0.8072        1.0      0.83080
                                                CWE79_direct-use-of-jinja2_SAFE4.txt                                                 CWE79_direct-use-of-jinja2_obfu.txt        0.1965                 0.8185   0.8035        1.0      0.81100
                                                CWE79_direct-use-of-jinja2_SAFE5.txt                                                 CWE79_direct-use-of-jinja2_obfu.txt        0.1928                 0.8544   0.8072        1.0      0.83080
                                CWE79_direct-use-of-jinja2-import-template_SAFE1.txt                                 CWE79_direct-use-of-jinja2-import-template_obfu.txt        0.3841                 0.5805   0.6159        1.0      0.59820
                                CWE79_direct-use-of-jinja2-import-template_SAFE2.txt                                 CWE79_direct-use-of-jinja2-import-template_obfu.txt        0.3427                 0.6657   0.6573        1.0      0.66150
                                CWE79_direct-use-of-jinja2-import-template_SAFE3.txt                                 CWE79_direct-use-of-jinja2-import-template_obfu.txt        0.4308                 0.5732   0.5692        1.0      0.57120
                                CWE79_direct-use-of-jinja2-import-template_SAFE4.txt                                 CWE79_direct-use-of-jinja2-import-template_obfu.txt        0.3847                 0.5805   0.6153        1.0      0.59790
                                CWE79_direct-use-of-jinja2-import-template_SAFE5.txt                                 CWE79_direct-use-of-jinja2-import-template_obfu.txt        0.3389                 0.6657   0.6611        1.0      0.66340
                                 CWE79_response-contains-unsanitized-input_SAFE1.txt                                  CWE79_response-contains-unsanitized-input_obfu.txt        0.2522                 0.8977   0.7478        1.0      0.82275
                                 CWE79_response-contains-unsanitized-input_SAFE2.txt                                  CWE79_response-contains-unsanitized-input_obfu.txt        0.1989                 0.9687   0.8011        1.0      0.88490
                                 CWE79_response-contains-unsanitized-input_SAFE3.txt                                  CWE79_response-contains-unsanitized-input_obfu.txt        0.1989                 0.9687   0.8011        1.0      0.88490
                                 CWE79_response-contains-unsanitized-input_SAFE4.txt                                  CWE79_response-contains-unsanitized-input_obfu.txt        0.2522                 0.8977   0.7478        1.0      0.82275
                                 CWE79_response-contains-unsanitized-input_SAFE5.txt                                  CWE79_response-contains-unsanitized-input_obfu.txt        0.1740                 0.9687   0.8260        1.0      0.89735
                               CWE79_response-contains-unsanitized-input-2_SAFE1.txt                                CWE79_response-contains-unsanitized-input-2_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                               CWE79_response-contains-unsanitized-input-2_SAFE2.txt                                CWE79_response-contains-unsanitized-input-2_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                               CWE79_response-contains-unsanitized-input-2_SAFE3.txt                                CWE79_response-contains-unsanitized-input-2_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                               CWE79_response-contains-unsanitized-input-2_SAFE4.txt                                CWE79_response-contains-unsanitized-input-2_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                               CWE79_response-contains-unsanitized-input-2_SAFE5.txt                                CWE79_response-contains-unsanitized-input-2_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                               CWE79_response-contains-unsanitized-input_3_SAFE1.txt                                CWE79_response-contains-unsanitized-input_3_obfu.txt        0.2129                 0.8977   0.7871        1.0      0.84240
                               CWE79_response-contains-unsanitized-input_3_SAFE2.txt                                CWE79_response-contains-unsanitized-input_3_obfu.txt        0.1285                 0.9687   0.8715        1.0      0.92010
                               CWE79_response-contains-unsanitized-input_3_SAFE3.txt                                CWE79_response-contains-unsanitized-input_3_obfu.txt        0.1519                 0.9687   0.8481        1.0      0.90840
                               CWE79_response-contains-unsanitized-input_3_SAFE4.txt                                CWE79_response-contains-unsanitized-input_3_obfu.txt        0.1285                 0.9687   0.8715        1.0      0.92010
                               CWE79_response-contains-unsanitized-input_3_SAFE5.txt                                CWE79_response-contains-unsanitized-input_3_obfu.txt        0.1519                 0.9687   0.8481        1.0      0.90840
                            CWE79_response-contains-unsanitized-input_exec_SAFE1.txt                             CWE79_response-contains-unsanitized-input_exec_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
                            CWE79_response-contains-unsanitized-input_exec_SAFE2.txt                             CWE79_response-contains-unsanitized-input_exec_obfu.txt        0.1604                 0.8963   0.8396        1.0      0.86795
                            CWE79_response-contains-unsanitized-input_exec_SAFE3.txt                             CWE79_response-contains-unsanitized-input_exec_obfu.txt        0.1604                 0.8963   0.8396        1.0      0.86795
                            CWE79_response-contains-unsanitized-input_exec_SAFE4.txt                             CWE79_response-contains-unsanitized-input_exec_obfu.txt        0.1604                 0.8963   0.8396        1.0      0.86795
                            CWE79_response-contains-unsanitized-input_exec_SAFE5.txt                             CWE79_response-contains-unsanitized-input_exec_obfu.txt        0.1527                 0.8963   0.8473        1.0      0.87180
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE1.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt        0.1332                 0.9129   0.8668        1.0      0.88985
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE2.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt        0.0866                 0.7206   0.9134        1.0      0.81700
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE3.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt        0.1332                 0.9129   0.8668        1.0      0.88985
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE4.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt        0.1252                 0.9129   0.8748        1.0      0.89385
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE5.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt        0.1252                 0.9129   0.8748        1.0      0.89385
                             CWE79_response-contains-unsanitized-input_ori_SAFE1.txt                              CWE79_response-contains-unsanitized-input_ori_obfu.txt        0.1964                 0.9027   0.8036        1.0      0.85315
                             CWE79_response-contains-unsanitized-input_ori_SAFE2.txt                              CWE79_response-contains-unsanitized-input_ori_obfu.txt        0.2120                 0.9027   0.7880        1.0      0.84535
                             CWE79_response-contains-unsanitized-input_ori_SAFE3.txt                              CWE79_response-contains-unsanitized-input_ori_obfu.txt        0.1181                 0.8365   0.8819        1.0      0.85920
                             CWE79_response-contains-unsanitized-input_ori_SAFE4.txt                              CWE79_response-contains-unsanitized-input_ori_obfu.txt        0.2120                 0.9027   0.7880        1.0      0.84535
                             CWE79_response-contains-unsanitized-input_ori_SAFE5.txt                              CWE79_response-contains-unsanitized-input_ori_obfu.txt        0.2120                 0.9027   0.7880        1.0      0.84535
                                                          CWE95_isten-eval_SAFE1.txt                                                           CWE95_isten-eval_obfu.txt        0.2058                 0.6277   0.7942        1.0      0.71095
                                                          CWE95_isten-eval_SAFE2.txt                                                           CWE95_isten-eval_obfu.txt        0.2222                 0.6150   0.7778        1.0      0.69640
                                                          CWE95_isten-eval_SAFE3.txt                                                           CWE95_isten-eval_obfu.txt        0.2058                 0.6277   0.7942        1.0      0.71095
                                                          CWE95_isten-eval_SAFE4.txt                                                           CWE95_isten-eval_obfu.txt        0.4280                 0.5688   0.5720        1.0      0.57040
                                                          CWE95_isten-eval_SAFE5.txt                                                           CWE95_isten-eval_obfu.txt        0.4462                 0.5548   0.5538        1.0      0.55430
                                             CWE95_user-exec-format-string_SAFE1.txt                                              CWE95_user-exec-format-string_obfu.txt        0.1305                 0.7988   0.8695        1.0      0.83415
                                             CWE95_user-exec-format-string_SAFE2.txt                                              CWE95_user-exec-format-string_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
                                             CWE95_user-exec-format-string_SAFE3.txt                                              CWE95_user-exec-format-string_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
                                             CWE95_user-exec-format-string_SAFE4.txt                                              CWE95_user-exec-format-string_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
                                             CWE95_user-exec-format-string_SAFE5.txt                                              CWE95_user-exec-format-string_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
                                        CWE95_user-exec-format-string_eval_SAFE1.txt                                         CWE95_user-exec-format-string_eval_obfu.txt        0.1571                 0.8260   0.8429        1.0      0.83445
                                        CWE95_user-exec-format-string_eval_SAFE2.txt                                         CWE95_user-exec-format-string_eval_obfu.txt        0.1571                 0.8260   0.8429        1.0      0.83445
                                        CWE95_user-exec-format-string_eval_SAFE3.txt                                         CWE95_user-exec-format-string_eval_obfu.txt        0.1571                 0.8260   0.8429        1.0      0.83445
                                        CWE95_user-exec-format-string_eval_SAFE4.txt                                         CWE95_user-exec-format-string_eval_obfu.txt        0.1571                 0.8260   0.8429        1.0      0.83445
                                        CWE95_user-exec-format-string_eval_SAFE5.txt                                         CWE95_user-exec-format-string_eval_obfu.txt        0.3250                 0.6743   0.6750        1.0      0.67465
            CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE1.txt             CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt        0.2936                 0.6854   0.7064        1.0      0.69590
            CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE2.txt             CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
            CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE3.txt             CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt        0.1272                 0.8419   0.8728        1.0      0.85735
            CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE4.txt             CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt        0.2936                 0.6854   0.7064        1.0      0.69590
            CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE5.txt             CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt        0.2936                 0.6854   0.7064        1.0      0.69590
                                         CWE95_user-exec-format-string_ori_SAFE1.txt                                          CWE95_user-exec-format-string_ori_obfu.txt        0.2449                 0.8265   0.7551        1.0      0.79080
                                         CWE95_user-exec-format-string_ori_SAFE2.txt                                          CWE95_user-exec-format-string_ori_obfu.txt        0.2449                 0.8265   0.7551        1.0      0.79080
                                         CWE95_user-exec-format-string_ori_SAFE3.txt                                          CWE95_user-exec-format-string_ori_obfu.txt        0.2449                 0.8265   0.7551        1.0      0.79080
                                         CWE95_user-exec-format-string_ori_SAFE4.txt                                          CWE95_user-exec-format-string_ori_obfu.txt        0.2449                 0.8265   0.7551        1.0      0.79080
                                         CWE95_user-exec-format-string_ori_SAFE5.txt                                          CWE95_user-exec-format-string_ori_obfu.txt        0.2449                 0.8265   0.7551        1.0      0.79080
                                         CWE96_globals-as-template-context_SAFE1.txt                                          CWE96_globals-as-template-context_obfu.txt        0.5894                 0.4388   0.4106        1.0      0.42470
                                         CWE96_globals-as-template-context_SAFE2.txt                                          CWE96_globals-as-template-context_obfu.txt        0.7939                 0.2078   0.2061        1.0      0.20695
                                         CWE96_globals-as-template-context_SAFE3.txt                                          CWE96_globals-as-template-context_obfu.txt        0.5455                 0.4187   0.4545        1.0      0.43660
                                         CWE96_globals-as-template-context_SAFE4.txt                                          CWE96_globals-as-template-context_obfu.txt        0.5587                 0.4592   0.4413        1.0      0.45025
                                         CWE96_globals-as-template-context_SAFE5.txt                                          CWE96_globals-as-template-context_obfu.txt        0.5368                 0.4839   0.4632        1.0      0.47355
